,clusters,centroids,closest_centroids,loss,initialization_time,optimization_time,iterations,k
0,[0 0 0 ... 0 0 0],"[[ 73.  77.  71.]
 [193. 181. 168.]]","[[73. 77. 71.]
 [73. 77. 71.]
 [73. 77. 71.]
 ...
 [73. 77. 71.]
 [73. 77. 71.]
 [73. 77. 71.]]",85784644.0,0.65625,0.375,13,2
1,[3 3 3 ... 0 0 0],"[[144. 136. 101.]
 [204. 202. 204.]
 [ 22.  27.  23.]
 [ 73.  77.  69.]]","[[ 73.  77.  69.]
 [ 73.  77.  69.]
 [ 73.  77.  69.]
 ...
 [144. 136. 101.]
 [144. 136. 101.]
 [144. 136. 101.]]",902458200484.0,3.515625,1.3125,26,4
2,[7 7 7 ... 5 5 5],"[[ 17.  20.  18.]
 [217. 221. 223.]
 [188. 171. 155.]
 [ 20.  63. 115.]
 [ 57.  55.  40.]
 [119. 137.  97.]
 [165. 111.  88.]
 [ 91.  92.  73.]]","[[ 91.  92.  73.]
 [ 91.  92.  73.]
 [ 91.  92.  73.]
 ...
 [119. 137.  97.]
 [119. 137.  97.]
 [119. 137.  97.]]",588588168025.0,15.484375,2.28125,24,8
3,[13 13 13 ...  4  4 11],"[[223. 227. 227.]
 [198. 202. 208.]
 [ 12.  15.  14.]
 [ 38.  37.  27.]
 [124. 148.  94.]
 [ 10.  46.  89.]
 [172. 132. 110.]
 [194. 180. 164.]
 [ 62.  60.  44.]
 [184. 159. 141.]
 [ 35.  72. 132.]
 [109. 130.  78.]
 [128. 137. 150.]
 [ 85.  84.  66.]
 [156. 103.  81.]
 [ 96. 107. 115.]]","[[ 85.  84.  66.]
 [ 85.  84.  66.]
 [ 85.  84.  66.]
 ...
 [124. 148.  94.]
 [124. 148.  94.]
 [109. 130.  78.]]",83968971076.0,66.296875,21.4375,107,16
